/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.009900990099009901, 'ep_reward': 56.0, 'timesteps': 56, 'ep_reward_avg': 18.862}
{'episode': 1000, 'epsilon': 0.004975124378109453, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 18.94}
{'episode': 1500, 'epsilon': 0.0033222591362126247, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 19.084}
{'episode': 2000, 'epsilon': 0.0024937655860349127, 'ep_reward': 22.0, 'timesteps': 22, 'ep_reward_avg': 19.222}
{'episode': 2500, 'epsilon': 0.001996007984031936, 'ep_reward': 22.0, 'timesteps': 22, 'ep_reward_avg': 18.792}
{'episode': 3000, 'epsilon': 0.0016638935108153079, 'ep_reward': 21.0, 'timesteps': 21, 'ep_reward_avg': 18.366}
{'episode': 3500, 'epsilon': 0.0014265335235378032, 'ep_reward': 17.0, 'timesteps': 17, 'ep_reward_avg': 18.792}
{'episode': 4000, 'epsilon': 0.0012484394506866417, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 19.044}
{'episode': 4500, 'epsilon': 0.0011098779134295228, 'ep_reward': 24.0, 'timesteps': 24, 'ep_reward_avg': 18.956}
{'episode': 5000, 'epsilon': 0.000999000999000999, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 18.914}
{'episode': 5500, 'epsilon': 0.0009082652134423251, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 19.47}
{'episode': 6000, 'epsilon': 0.0008326394671107411, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 19.328}
{'episode': 6500, 'epsilon': 0.0007686395080707148, 'ep_reward': 20.0, 'timesteps': 20, 'ep_reward_avg': 18.54}
{'episode': 7000, 'epsilon': 0.0007137758743754461, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 19.108}
{'episode': 7500, 'epsilon': 0.0006662225183211193, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 18.8}
{'episode': 8000, 'epsilon': 0.0006246096189881324, 'ep_reward': 20.0, 'timesteps': 20, 'ep_reward_avg': 19.08}
{'episode': 8500, 'epsilon': 0.0005878894767783657, 'ep_reward': 24.0, 'timesteps': 24, 'ep_reward_avg': 18.564}
{'episode': 9000, 'epsilon': 0.000555247084952804, 'ep_reward': 17.0, 'timesteps': 17, 'ep_reward_avg': 18.956}
{'episode': 9500, 'epsilon': 0.0005260389268805891, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 18.614}
{'episode': 10000, 'epsilon': 0.0004997501249375312, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 18.832}
{'episode': 10500, 'epsilon': 0.00047596382674916705, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 18.908}
{'episode': 11000, 'epsilon': 0.00045433893684688776, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 18.274}
{'episode': 11500, 'epsilon': 0.000434593654932638, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 18.584}
{'episode': 12000, 'epsilon': 0.00041649312786339027, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 19.29}
{'episode': 12500, 'epsilon': 0.00039984006397441024, 'ep_reward': 28.0, 'timesteps': 28, 'ep_reward_avg': 17.938}
{'episode': 13000, 'epsilon': 0.00038446751249519417, 'ep_reward': 33.0, 'timesteps': 33, 'ep_reward_avg': 19.008}
{'episode': 13500, 'epsilon': 0.00037023324694557573, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 18.69}
{'episode': 14000, 'epsilon': 0.0003570153516601214, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 19.354}
{'episode': 14500, 'epsilon': 0.0003447087211306446, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 18.6}
{'episode': 15000, 'epsilon': 0.0003332222592469177, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 18.444}
{'episode': 15500, 'epsilon': 0.0003224766204450177, 'ep_reward': 19.0, 'timesteps': 19, 'ep_reward_avg': 18.844}
{'episode': 16000, 'epsilon': 0.00031240237425804435, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 19.396}
{'episode': 16500, 'epsilon': 0.0003029385034837928, 'ep_reward': 22.0, 'timesteps': 22, 'ep_reward_avg': 18.974}
{'episode': 17000, 'epsilon': 0.00029403116730373417, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 19.124}
{'episode': 17500, 'epsilon': 0.00028563267637817766, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 19.138}
{'episode': 18000, 'epsilon': 0.00027770063871146905, 'ep_reward': 21.0, 'timesteps': 21, 'ep_reward_avg': 19.246}
{'episode': 18500, 'epsilon': 0.0002701972439881113, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 19.524}
{'episode': 19000, 'epsilon': 0.00026308866087871614, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 19.508}
{'episode': 19500, 'epsilon': 0.0002563445270443476, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 18.904}
{'episode': 20000, 'epsilon': 0.00024993751562109475, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 19.108}
