/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 0, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.0}
{'episode': 500, 'epsilon': 0, 'ep_reward': 79.0, 'timesteps': 79, 'ep_reward_avg': 95.456}
{'episode': 1000, 'epsilon': 0, 'ep_reward': 99.0, 'timesteps': 99, 'ep_reward_avg': 130.814}
{'episode': 1500, 'epsilon': 0, 'ep_reward': 129.0, 'timesteps': 129, 'ep_reward_avg': 134.216}
{'episode': 2000, 'epsilon': 0, 'ep_reward': 89.0, 'timesteps': 89, 'ep_reward_avg': 111.142}
{'episode': 2500, 'epsilon': 0, 'ep_reward': 92.0, 'timesteps': 92, 'ep_reward_avg': 85.648}
{'episode': 3000, 'epsilon': 0, 'ep_reward': 103.0, 'timesteps': 103, 'ep_reward_avg': 113.58}
{'episode': 3500, 'epsilon': 0, 'ep_reward': 127.0, 'timesteps': 127, 'ep_reward_avg': 123.386}
{'episode': 4000, 'epsilon': 0, 'ep_reward': 101.0, 'timesteps': 101, 'ep_reward_avg': 120.388}
{'episode': 4500, 'epsilon': 0, 'ep_reward': 116.0, 'timesteps': 116, 'ep_reward_avg': 124.59}
{'episode': 5000, 'epsilon': 0, 'ep_reward': 142.0, 'timesteps': 142, 'ep_reward_avg': 126.58}
{'episode': 5500, 'epsilon': 0, 'ep_reward': 137.0, 'timesteps': 137, 'ep_reward_avg': 128.568}
{'episode': 6000, 'epsilon': 0, 'ep_reward': 132.0, 'timesteps': 132, 'ep_reward_avg': 119.266}
{'episode': 6500, 'epsilon': 0, 'ep_reward': 117.0, 'timesteps': 117, 'ep_reward_avg': 138.336}
{'episode': 7000, 'epsilon': 0, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 134.174}
{'episode': 7500, 'epsilon': 0, 'ep_reward': 132.0, 'timesteps': 132, 'ep_reward_avg': 135.54}
{'episode': 8000, 'epsilon': 0, 'ep_reward': 187.0, 'timesteps': 187, 'ep_reward_avg': 142.464}
{'episode': 8500, 'epsilon': 0, 'ep_reward': 74.0, 'timesteps': 74, 'ep_reward_avg': 139.688}
{'episode': 9000, 'epsilon': 0, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 135.39}
{'episode': 9500, 'epsilon': 0, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 143.804}
{'episode': 10000, 'epsilon': 0, 'ep_reward': 81.0, 'timesteps': 81, 'ep_reward_avg': 146.028}
{'episode': 10500, 'epsilon': 0, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 153.116}
{'episode': 11000, 'epsilon': 0, 'ep_reward': 137.0, 'timesteps': 137, 'ep_reward_avg': 146.902}
{'episode': 11500, 'epsilon': 0, 'ep_reward': 150.0, 'timesteps': 150, 'ep_reward_avg': 133.134}
{'episode': 12000, 'epsilon': 0, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 143.012}
{'episode': 12500, 'epsilon': 0, 'ep_reward': 157.0, 'timesteps': 157, 'ep_reward_avg': 152.586}
{'episode': 13000, 'epsilon': 0, 'ep_reward': 159.0, 'timesteps': 159, 'ep_reward_avg': 150.98}
{'episode': 13500, 'epsilon': 0, 'ep_reward': 149.0, 'timesteps': 149, 'ep_reward_avg': 159.824}
{'episode': 14000, 'epsilon': 0, 'ep_reward': 167.0, 'timesteps': 167, 'ep_reward_avg': 165.038}
{'episode': 14500, 'epsilon': 0, 'ep_reward': 156.0, 'timesteps': 156, 'ep_reward_avg': 172.486}
{'episode': 15000, 'epsilon': 0, 'ep_reward': 157.0, 'timesteps': 157, 'ep_reward_avg': 145.782}
{'episode': 15500, 'epsilon': 0, 'ep_reward': 91.0, 'timesteps': 91, 'ep_reward_avg': 144.908}
{'episode': 16000, 'epsilon': 0, 'ep_reward': 130.0, 'timesteps': 130, 'ep_reward_avg': 158.812}
{'episode': 16500, 'epsilon': 0, 'ep_reward': 139.0, 'timesteps': 139, 'ep_reward_avg': 144.75}
{'episode': 17000, 'epsilon': 0, 'ep_reward': 123.0, 'timesteps': 123, 'ep_reward_avg': 134.088}
{'episode': 17500, 'epsilon': 0, 'ep_reward': 157.0, 'timesteps': 157, 'ep_reward_avg': 150.468}
{'episode': 18000, 'epsilon': 0, 'ep_reward': 160.0, 'timesteps': 160, 'ep_reward_avg': 156.344}
{'episode': 18500, 'epsilon': 0, 'ep_reward': 122.0, 'timesteps': 122, 'ep_reward_avg': 155.072}
{'episode': 19000, 'epsilon': 0, 'ep_reward': 134.0, 'timesteps': 134, 'ep_reward_avg': 159.966}
{'episode': 19500, 'epsilon': 0, 'ep_reward': 189.0, 'timesteps': 189, 'ep_reward_avg': 152.146}
{'episode': 20000, 'epsilon': 0, 'ep_reward': 163.0, 'timesteps': 163, 'ep_reward_avg': 153.46}
