/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.02912621359223301, 'ep_reward': 136.0, 'timesteps': 136, 'ep_reward_avg': 41.996}
{'episode': 1000, 'epsilon': 0.014778325123152709, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 41.386}
{'episode': 1500, 'epsilon': 0.009900990099009901, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 49.438}
{'episode': 2000, 'epsilon': 0.007444168734491315, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 45.616}
{'episode': 2500, 'epsilon': 0.005964214711729622, 'ep_reward': 81.0, 'timesteps': 81, 'ep_reward_avg': 66.344}
{'episode': 3000, 'epsilon': 0.004975124378109453, 'ep_reward': 155.0, 'timesteps': 155, 'ep_reward_avg': 66.324}
{'episode': 3500, 'epsilon': 0.004267425320056899, 'ep_reward': 82.0, 'timesteps': 82, 'ep_reward_avg': 74.274}
{'episode': 4000, 'epsilon': 0.0037359900373599006, 'ep_reward': 65.0, 'timesteps': 65, 'ep_reward_avg': 89.902}
{'episode': 4500, 'epsilon': 0.0033222591362126247, 'ep_reward': 110.0, 'timesteps': 110, 'ep_reward_avg': 95.96}
{'episode': 5000, 'epsilon': 0.0029910269192422734, 'ep_reward': 38.0, 'timesteps': 38, 'ep_reward_avg': 100.07}
{'episode': 5500, 'epsilon': 0.0027198549410698096, 'ep_reward': 40.0, 'timesteps': 40, 'ep_reward_avg': 99.55}
{'episode': 6000, 'epsilon': 0.0024937655860349127, 'ep_reward': 54.0, 'timesteps': 54, 'ep_reward_avg': 99.348}
{'episode': 6500, 'epsilon': 0.0023023791250959325, 'ep_reward': 166.0, 'timesteps': 166, 'ep_reward_avg': 97.39}
{'episode': 7000, 'epsilon': 0.0021382751247327157, 'ep_reward': 83.0, 'timesteps': 83, 'ep_reward_avg': 99.54}
{'episode': 7500, 'epsilon': 0.001996007984031936, 'ep_reward': 130.0, 'timesteps': 130, 'ep_reward_avg': 98.308}
{'episode': 8000, 'epsilon': 0.0018714909544603868, 'ep_reward': 130.0, 'timesteps': 130, 'ep_reward_avg': 99.554}
{'episode': 8500, 'epsilon': 0.0017615971814445098, 'ep_reward': 126.0, 'timesteps': 126, 'ep_reward_avg': 98.556}
{'episode': 9000, 'epsilon': 0.0016638935108153079, 'ep_reward': 114.0, 'timesteps': 114, 'ep_reward_avg': 100.546}
{'episode': 9500, 'epsilon': 0.0015764582238570678, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 95.638}
{'episode': 10000, 'epsilon': 0.0014977533699450823, 'ep_reward': 133.0, 'timesteps': 133, 'ep_reward_avg': 102.968}
{'episode': 10500, 'epsilon': 0.0014265335235378032, 'ep_reward': 111.0, 'timesteps': 111, 'ep_reward_avg': 105.468}
{'episode': 11000, 'epsilon': 0.0013617793917385383, 'ep_reward': 50.0, 'timesteps': 50, 'ep_reward_avg': 92.528}
{'episode': 11500, 'epsilon': 0.0013026487190620929, 'ep_reward': 78.0, 'timesteps': 78, 'ep_reward_avg': 93.488}
{'episode': 12000, 'epsilon': 0.0012484394506866417, 'ep_reward': 120.0, 'timesteps': 120, 'ep_reward_avg': 98.11}
{'episode': 12500, 'epsilon': 0.0011985617259288853, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 96.786}
{'episode': 13000, 'epsilon': 0.001152516327314637, 'ep_reward': 109.0, 'timesteps': 109, 'ep_reward_avg': 96.382}
{'episode': 13500, 'epsilon': 0.0011098779134295228, 'ep_reward': 37.0, 'timesteps': 37, 'ep_reward_avg': 99.442}
{'episode': 14000, 'epsilon': 0.0010702818408847663, 'ep_reward': 36.0, 'timesteps': 36, 'ep_reward_avg': 97.09}
{'episode': 14500, 'epsilon': 0.0010334137099552187, 'ep_reward': 32.0, 'timesteps': 32, 'ep_reward_avg': 96.146}
{'episode': 15000, 'epsilon': 0.000999000999000999, 'ep_reward': 137.0, 'timesteps': 137, 'ep_reward_avg': 97.186}
{'episode': 15500, 'epsilon': 0.0009668063164679343, 'ep_reward': 161.0, 'timesteps': 161, 'ep_reward_avg': 97.184}
{'episode': 16000, 'epsilon': 0.0009366219169528567, 'ep_reward': 134.0, 'timesteps': 134, 'ep_reward_avg': 89.266}
{'episode': 16500, 'epsilon': 0.0009082652134423251, 'ep_reward': 159.0, 'timesteps': 159, 'ep_reward_avg': 94.312}
{'episode': 17000, 'epsilon': 0.000881575080811049, 'ep_reward': 33.0, 'timesteps': 33, 'ep_reward_avg': 101.908}
{'episode': 17500, 'epsilon': 0.0008564087924636027, 'ep_reward': 111.0, 'timesteps': 111, 'ep_reward_avg': 94.392}
{'episode': 18000, 'epsilon': 0.0008326394671107411, 'ep_reward': 112.0, 'timesteps': 112, 'ep_reward_avg': 96.596}
{'episode': 18500, 'epsilon': 0.0008101539292465569, 'ep_reward': 61.0, 'timesteps': 61, 'ep_reward_avg': 95.93}
{'episode': 19000, 'epsilon': 0.0007888509071785432, 'ep_reward': 111.0, 'timesteps': 111, 'ep_reward_avg': 93.388}
{'episode': 19500, 'epsilon': 0.0007686395080707148, 'ep_reward': 109.0, 'timesteps': 109, 'ep_reward_avg': 104.672}
{'episode': 20000, 'epsilon': 0.0007494379215588309, 'ep_reward': 180.0, 'timesteps': 180, 'ep_reward_avg': 100.37}
